时间/h,0,0.5,1,1.5,2
0.5,32.1862,32.3790,32.9626,33.9570,35.4087
1,40.3775,40.5496,41.0567,41.8747,42.9938
1.5,45.8440,45.9321,46.1904,46.6028,47.1385
2,48.4488,48.4866,48.5971,48.7724,49.0024
2.5,49.4663,49.4786,49.5131,49.5649,49.6595
3,49.8493,49.8551,49.8743,49.9099,49.9660
