时间/h,0,0.5,1,1.5,2
0.5,2.5499,2.5489,2.5255,2.3258,1.6487
1,2.5257,2.4947,2.3578,2.0231,1.4711
1.5,2.3860,2.3256,2.1345,1.8021,1.3476
2,2.1709,2.1085,1.9237,1.6260,1.2311
2.5,1.9567,1.9007,1.7360,1.4720,1.1167
3,1.7662,1.7166,1.5703,1.3333,1.0082
