时间/s,0,0.5,1,1.5,2
100,28.0001,28.0004,28.0041,28.0324,28.1778
300,28.0410,28.0635,28.1510,28.3667,28.8451
600,28.4527,28.5352,28.8025,29.3134,30.1613
900,29.3226,29.4563,29.8729,30.6128,31.7262
1200,30.5400,30.7069,31.2190,32.1085,33.4227
1500,31.9922,32.1831,32.7620,33.7419,35.1160
1800,33.5712,33.7678,34.3598,35.3575,36.7805
